year,rank,name,net_worth,age,nationality,source_wealth
2008,6,Anil Ambani,42.0,48,India,Anil Dhirubhai Ambani Group
2008,7,Ingvar Kamprad,31.0,81,Sweden,IKEA
2008,8,Kushal Pal Singh,30.0,76,India,DLF Group
2008,9,Oleg Deripaska,28.0,40,Russia,Rusal
2008,10,Karl   Albrecht,27.0,88,Germany,Aldi Süd
2007,1,Bill Gates,56.0,51,United States,Microsoft
2007,2,Warren Buffett,52.0,76,United States,Berkshire Hathaway
2007,3,Carlos Slim,49.0,67,Mexico,"Telmex, América Móvil, Grupo Carso"
2007,4,Ingvar Kamprad,33.0,80,Sweden,IKEA
2007,5,Lakshmi Mittal,32.0,56,India,Arcelor Mittal
2007,6,Sheldon Adelson,26.5,73,United States,Las Vegas Sands
2007,7,Bernard Arnault,26.0,58,France,LVMH
2007,8,Amancio Ortega,24.0,71,Spain,Inditex Group
2007,9,Li Ka-shing,23.0,78,Hong Kong,"Cheung Kong Holdings, Hutchison Whampoa"
2007,10,David Thomson,22.0,49,Canada,Thomson Corporation
2006,1,Bill Gates,52.0,50,United States,Microsoft
2006,2,Warren Buffett,42.0,75,United States,Berkshire Hathaway
2006,3,Carlos Slim,30.0,66,Mexico,Telmex
2006,4,Ingvar Kamprad,28.0,79,Sweden,IKEA
2006,5,Lakshmi Mittal,23.5,55,India,Mittal Steel Company
2006,6,Paul Allen,22.0,53,United States,Microsoft
2006,7,Bernard Arnault,21.5,57,France,LVMH Moët Hennessy • Louis Vuitton
2006,8,Al-Waleed bin Talal,20.0,49,Saudi Arabia,Kingdom Holding Company
2006,9,Kenneth Thomson,19.6,82,Canada,The Thomson Corporation
2006,10,Li Ka-shing,18.8,77,Hong Kong Canada,"Cheung Kong Group, Hutchison Whampoa"
2005,1,Bill Gates,46.5,49,United States,Microsoft
2005,2,Warren Buffett,44.0,74,United States,Berkshire Hathaway
2005,3,Lakshmi Mittal,25.0,54,India,Mittal Steel Company
2005,4,Carlos Slim,23.8,65,Mexico,Telmex
2005,5,Al-Waleed bin Talal,23.7,49,Saudi Arabia,Kingdom Holding Company
2005,6,Ingvar Kamprad,23.0,79,Sweden,IKEA
2005,7,Paul Allen,21.0,52,United States,Microsoft
2005,8,Karl Albrecht,18.5,85,Germany,Aldi Süd
2005,9,Larry Ellison,18.4,60,United States,Oracle Corporation
2005,10,S. Robson Walton,18.3,61,United States,Walmart
2004,1,Bill Gates,46.6,48,United States,Microsoft
2004,2,Warren Buffett,42.9,73,United States,Berkshire Hathaway
2004,3,Karl Albrecht,23.0,84,Germany,Aldi Süd
2004,4,Al-Waleed bin Talal,21.5,47,Saudi Arabia,Kingdom Holding Company
2004,5,Paul Allen,21.0,51,United States,Microsoft
2004,6,Alice Walton*,20.0,55,United States,Wal-Mart
2004,6,Helen Walton*,20.0,84,United States,Wal-Mart
2004,6,Jim Walton*,20.0,56,United States,Wal-Mart
2004,6,John Walton*,20.0,58,United States,Wal-Mart
2004,6,S. Robson Walton*,20.0,60,United States,Wal-Mart
2003,1,Bill Gates,52.8,46,United States,Microsoft
2003,2,Warren Buffett,35.0,71,United States,Berkshire Hathaway
2003,3,Karl and Theo Albrecht,26.8,82,Germany,Aldi Süd
2003,4,Paul Allen,25.2,49,United States,Microsoft
2003,5,Larry Ellison,23.5,57,United States,Oracle Corporation
2003,6,Jim Walton*,20.8,54,United States,Wal-Mart
2003,7,John Walton*,20.7,56,United States,Wal-Mart
2003,8,Alice Walton*,20.5,53,United States,Wal-Mart
2003,8,S. Robson Walton*,20.5,58,United States,Wal-Mart
2003,8,Helen Walton*,20.5,82,United States,Wal-Mart
2002,1,Bill Gates,60.0,44,United States,Microsoft
2002,2,Larry Ellison,47.0,55,United States,Oracle Corporation
2002,3,Paul Allen,28.0,47,United States,Microsoft
2002,4,Warren Buffett,25.6,69,United States,Berkshire Hathaway
2002,5,Karl and Theo Albrecht,20.0,80,Germany,Aldi Süd
2002,6,Al-Waleed bin Talal,20.0,43,Saudi Arabia,Kingdom Holding Company
2002,7,S. Robson Walton,20.0,57,United States,Wal-Mart
2002,8,Masayoshi Son,19.4,43,Japan,"Softbank Capital, SoftBank Mobile"
2002,9,Michael Dell,19.1,35,United States,Dell
2002,10,Kenneth Thomson,16.1,77,Canada,The Thomson Corporation
